h3_d,traffic,geometry
8419581ffffffff,6763.0,"POLYGON ((-2.4999205862383618 51.93282571281686, -2.8349898758090024 51.86728769081595, -2.8858983624278505 51.644863067798326, -2.6038036105138413 51.488565849802725, -2.271266991829784 51.554114861770486, -2.2183050268640825 51.77594783138261, -2.4999205862383618 51.93282571281686))"
84194a1ffffffff,9024.0,"POLYGON ((0.1375276379247935 51.16358931854568, -0.1888571206002735 51.10468408424408, -0.2480030688302645 50.88418280048087, 0.0173959459627047 50.723237845267455, 0.3412659959096388 50.78225435242318, 0.4022389513239568 51.00210285649395, 0.1375276379247935 51.16358931854568))"
8419417ffffffff,2558.5,"POLYGON ((0.9059592695930241 52.740322844829585, 0.5717546204319861 52.68681682516413, 0.5083742960131257 52.470965769122905, 0.7773082053426663 52.30926292063635, 1.1088446634075162 52.362889095315474, 1.1741013424177231 52.57809625443504, 0.9059592695930241 52.740322844829585))"
8419767ffffffff,4168.0,"POLYGON ((-2.9044742354196362 57.013788983822224, -3.273866682542633 56.9568887785022, -3.328180913980186 56.74718245808715, -3.01563624229656 56.59489061693194, -2.6492963785703902 56.651708723392126, -2.5924651494510482 56.86089782178923, -2.9044742354196362 57.013788983822224))"
84190c3ffffffff,1041.0,"POLYGON ((-5.258355948588892 57.64437264529432, -5.635302233075714 57.58129209932859, -5.680905616975902 57.37091274308833, -5.352332650811875 57.22407024696136, -4.978419989774982 57.28697467112096, -4.930062442419942 57.496894226739585, -5.258355948588892 57.64437264529432))"
84192b1ffffffff,4140.0,"POLYGON ((-3.695882864334192 58.09036932741895, -4.074649368895614 58.03312351198522, -4.126991114873297 57.82571987945591, -3.8032758095873134 57.67604663636835, -3.4276701632043314 57.73316035900423, -3.372636198754087 57.940076176202695, -3.695882864334192 58.09036932741895))"
84195d9ffffffff,12440.0,"POLYGON ((-0.492449420292738 52.30184375904422, -0.8265638049775317 52.24320415411095, -0.884744991414505 52.02432670117968, -0.610770828755897 51.86471285963678, -0.2792642267932731 51.923429301732135, -0.2191374344592494 52.1416808182628, -0.492449420292738 52.30184375904422))"
84190cbffffffff,1721.0,"POLYGON ((-4.832128370609764 57.9146947479545, -5.210774689530541 57.85350415738145, -5.258355948588892 57.64437264529432, -4.930062442419942 57.496894226739585, -4.554504231164114 57.55791746234239, -4.504167746912054 57.76658303048726, -4.832128370609764 57.9146947479545))"
8418749ffffffff,3251.0,"POLYGON ((-4.267444953340611 51.14349702000106, -4.600207851160955 51.07099991098289, -4.644286465227518 50.84460414227664, -4.357718726381222 50.69126556708913, -4.027370979875902 50.76372049726491, -3.9811872278487312 50.98955367382511, -4.267444953340611 51.14349702000106))"
8419549ffffffff,1576.0,"POLYGON ((-3.232662173506672 55.74913520825947, -3.5932707721232413 55.688698728169676, -3.645027815430241 55.475034259798285, -3.3386080966029845 55.32233018567499, -2.980891398777133 55.382697006412634, -2.926717706486088 55.59583470316195, -3.232662173506672 55.74913520825947))"
84192b7ffffffff,6990.0,"POLYGON ((-4.126991114873297 57.82571987945591, -4.504167746912054 57.76658303048726, -4.554504231164114 57.55791746234239, -4.230375121572935 57.40886755282852, -3.8563066413718285 57.46786317012882, -3.8032758095873134 57.67604663636835, -4.126991114873297 57.82571987945591))"
84195a1ffffffff,8462.0,"POLYGON ((-4.129513118199026 51.817626771053575, -4.4660000869576715 51.746813365129135, -4.511068269733461 51.522109808622666, -4.221807501103972 51.36877454450329, -3.887796601255635 51.43954352306408, -3.8405822694203735 51.663689633435816, -4.129513118199026 51.817626771053575))"
8419517ffffffff,5814.0,"POLYGON ((-3.4498972300039092 53.43582608369586, -3.7953758791620262 53.37020410063899, -3.8441992428094536 53.15019864830769, -3.549786522387839 52.99636458924467, -3.206952240464345 53.06194573007344, -3.1558995499871223 53.28139914998044, -3.4498972300039092 53.43582608369586))"
8419761ffffffff,3525.0,"POLYGON ((-2.4774126747908296 57.27726577671322, -2.8482124005404197 57.222232629472416, -2.9044742354196362 57.013788983822224, -2.5924651494510482 56.86089782178923, -2.2247654970880335 56.915858409004066, -2.1659918871502364 57.12377982313062, -2.4774126747908296 57.27726577671322))"
8419099ffffffff,2953.0,"POLYGON ((-4.432091066020293 56.56706008245584, -4.800029464620632 56.504457302193494, -4.847937587354297 56.29175944954233, -4.530503421958044 56.14215226894941, -4.1655054990318705 56.20462887944475, -4.115016545961623 56.416835650657156, -4.432091066020293 56.56706008245584))"
8419587ffffffff,9929.0,"POLYGON ((-2.8858983624278505 51.644863067798326, -3.2198193399033754 51.577585137691486, -3.269135743808343 51.35401160736395, -2.9866007657014273 51.198300907861224, -2.6551773603146875 51.26557953029522, -2.6038036105138413 51.488565849802725, -2.8858983624278505 51.644863067798326))"
8419411ffffffff,5286.0,"POLYGON ((1.3060354519418436 53.006722595215216, 0.9709866085705763 52.954958433271635, 0.9059592695930241 52.740322844829585, 1.1741013424177231 52.57809625443504, 1.5064520940764745 52.62999102873953, 1.5733445266142267 52.84398012047066, 1.3060354519418436 53.006722595215216))"
8419439ffffffff,3293.5,"POLYGON ((0.0881496903952254 53.224075392796365, -0.2505591566288708 53.16901279799396, -0.3116993939681175 52.95311847358758, -0.0361147185732641 52.79290831054853, 0.2998889605792325 52.84805632123376, 0.3629988700845644 53.063327159303455, 0.0881496903952254 53.224075392796365))"
8419595ffffffff,6732.0,"POLYGON ((-2.046007407283445 51.17431350251981, -2.376038954151443 51.108741374360854, -2.4278571007773357 50.8852111237168, -2.1516275450615745 50.727861827083494, -1.8240736320665871 50.79346886359795, -1.7702838748075804 51.01638818845673, -2.046007407283445 51.17431350251981))"
84190ddffffffff,3229.0,"POLYGON ((-4.554504231164114 57.55791746234239, -4.930062442419942 57.496894226739585, -4.978419989774982 57.28697467112096, -4.653930733454295 57.138551275144934, -4.281427926516645 57.19942426181257, -4.230375121572935 57.40886755282852, -4.554504231164114 57.55791746234239))"
84195c9ffffffff,9573.0,"POLYGON ((-1.5511617890707445 53.15493806844753, -1.8922035727902615 53.09468342978071, -1.9475671459692359 52.87637761485581, -1.6639830990893418 52.71891873856535, -1.3256094626704524 52.77920249606426, -1.2681654753927085 52.99691378235404, -1.5511617890707445 53.15493806844753))"
841959bffffffff,9634.0,"POLYGON ((-0.8423483509129407 50.983547530682785, -1.169412791364052 50.921308228531196, -1.2251290590785342 50.69901324135018, -0.955674395180558 50.53959295088918, -0.6310947579755037 50.60191112048408, -0.5734974307177894 50.82356886138601, -0.8423483509129407 50.983547530682785))"
8419467ffffffff,3909.0,"POLYGON ((-1.2023594868287244 54.44833340634301, -1.551128223751166 54.39168401096838, -1.6090565564501307 54.17706614785891, -1.320388206673679 54.01967903455429, -0.9744261926913429 54.07635111434092, -0.9143406956744738 54.2903853145996, -1.2023594868287244 54.44833340634301))"
84182d3ffffffff,3145.5,"POLYGON ((-5.009245658835412 52.27564831739932, -5.349394408568886 52.20294969638253, -5.39163649541092 51.97830689396502, -5.095974655253904 51.826891210916145, -4.758311219715988 51.89950984639003, -4.713836061736165 52.12362137819722, -5.009245658835412 52.27564831739932))"
84190d3ffffffff,1614.5,"POLYGON ((-4.012800722101954 56.8392570852694, -4.38228087377666 56.77851756895556, -4.432091066020293 56.56706008245584, -4.115016545961623 56.416835650657156, -3.7485262918440214 56.47745814623005, -3.6961364371045873 56.6884189507176, -4.012800722101954 56.8392570852694))"
84190d5ffffffff,2300.0,"POLYGON ((-4.978419989774982 57.28697467112096, -5.352332650811875 57.22407024696136, -5.39873777982882 57.012904960724015, -5.073940849336985 56.86511101788732, -4.7030308505621825 56.92785629445429, -4.653930733454295 57.138551275144934, -4.978419989774982 57.28697467112096))"
8419461ffffffff,5170.0,"POLYGON ((-0.7927922069527693 54.716568356707405, -1.142667374167699 54.66171753702536, -1.2023594868287244 54.44833340634301, -0.9143406956744738 54.2903853145996, -0.5673096872014503 54.345268907795685, -0.5054685632911888 54.558065560609066, -0.7927922069527693 54.716568356707405))"
841959dffffffff,6412.0,"POLYGON ((-1.6615334244358186 51.46054525866226, -1.9926215982984172 51.39669848571347, -2.046007407283445 51.17431350251981, -1.7702838748075804 51.01638818845673, -1.441706176742335 51.08028037353338, -1.3863540691142426 51.30205040126001, -1.6615334244358186 51.46054525866226))"
84190dbffffffff,1655.5,"POLYGON ((-3.5900690647841698 57.10833683707346, -3.961063857813644 57.04946555598064, -4.012800722101954 56.8392570852694, -3.6961364371045873 56.6884189507176, -3.328180913980186 56.74718245808715, -3.273866682542633 56.9568887785022, -3.5900690647841698 57.10833683707346))"
8419405ffffffff,8155.0,"POLYGON ((-0.3453759486192545 53.97272494827599, -0.6895980901110196 53.91779490572579, -0.7500555275465403 53.70312545760413, -0.4683625808633799 53.54398956917153, -0.1269143711643511 53.59897939343111, -0.0643999294376668 53.813043237283225, -0.3453759486192545 53.97272494827599))"
84195b1ffffffff,4511.5,"POLYGON ((-3.036402633475406 50.97417364697017, -3.366690974848194 50.90517214542122, -3.414937482585768 50.67991676539649, -3.1349271650384956 50.52425312824379, -2.807075709317495 50.593256918337815, -2.756809466953425 50.81791979447403, -3.036402633475406 50.97417364697017))"
841954dffffffff,8314.0,"POLYGON ((-3.9031812914854775 55.8406058064649, -4.265269890054335 55.778239365653654, -4.314554862764006 55.5640633418814, -4.00423823489189 55.412762316631195, -3.645027815430241 55.475034259798285, -3.5932707721232413 55.688698728169676, -3.9031812914854775 55.8406058064649))"
84195dbffffffff,14896.5,"POLYGON ((-0.2792642267932731 51.923429301732135, -0.610770828755897 51.86471285963678, -0.6692917033310195 51.64527714524333, -0.3982242646620345 51.485190990482394, -0.0692940978798749 51.543996089430806, -0.0088681486694039 51.762796838769574, -0.2792642267932731 51.923429301732135))"
8419093ffffffff,8408.5,"POLYGON ((-4.579115169450673 55.92870838080046, -4.942594963220131 55.864383089631914, -4.989353395843808 55.64971127255712, -4.675173205776979 55.499857403071076, -4.314554862764006 55.5640633418814, -4.265269890054335 55.778239365653654, -4.579115169450673 55.92870838080046))"
8419421ffffffff,10576.0,"POLYGON ((-1.3787347888982984 53.804416678736246, -1.7235999025298434 53.74595940098855, -1.7802245780346777 53.529478656216995, -1.4941168030204148 53.37204199185134, -1.1519878995245472 53.430525415973094, -1.093244866733979 53.64641708882183, -1.3787347888982984 53.804416678736246))"
8419543ffffffff,4785.0,"POLYGON ((-3.3909566243166416 55.107957908433676, -3.7473199735155016 55.045765120388594, -3.797864506263984 54.83016772712531, -3.4944287278558823 54.67729204593729, -3.1408814044348734 54.73942069050105, -3.0879683939589393 54.95448634950422, -3.3909566243166416 55.107957908433676))"
84195d5ffffffff,5039.0,"POLYGON ((-1.495417507223357 52.12250064517041, -1.8301115887419024 52.06042870859474, -1.8846778964264161 51.83976108703744, -1.6065644025410095 51.6817727465481, -1.274442986838768 51.74388859379757, -1.21787542551618 51.96394676922824, -1.495417507223357 52.12250064517041))"
8419735ffffffff,4388.0,"POLYGON ((-2.567674436211736 55.65437091823219, -2.926717706486088 55.59583470316195, -2.980891398777133 55.382697006412634, -2.678397638085586 55.228634246727154, -2.322257054880018 55.28712558710526, -2.2657229572807887 55.49972184526161, -2.567674436211736 55.65437091823219))"
841909dffffffff,4983.5,"POLYGON ((-5.1211138215843 56.6531727994977, -5.490405227376496 56.58856086774983, -5.535676773407251 56.37538818657389, -5.214308427716972 56.22729893483594, -4.847937587354297 56.29175944954233, -4.800029464620632 56.504457302193494, -5.1211138215843 56.6531727994977))"
841909bffffffff,11395.0,"POLYGON ((-4.1655054990318705 56.20462887944475, -4.530503421958044 56.14215226894941, -4.579115169450673 55.92870838080046, -4.265269890054335 55.778239365653654, -3.9031812914854775 55.8406058064649, -3.8520437538091574 56.05354833901545, -4.1655054990318705 56.20462887944475))"
8419733ffffffff,10760.0,"POLYGON ((-1.6692285726567444 55.188394902689446, -2.0237140892759267 55.13174869503424, -2.080737082897575 54.91846417682084, -1.7855433613315903 54.762388366240536, -1.4339335525018744 54.81902902370526, -1.3746571215337007 55.031748556602956, -1.6692285726567444 55.188394902689446))"
8419287ffffffff,2824.0,"POLYGON ((-3.5313821048780656 58.70670457676296, -3.914960077654549 58.65121362509955, -3.9686393846396215 58.445872836399374, -3.641509755768361 58.2965033787441, -3.261183368716122 58.351854064050265, -3.204753051864899 58.55671118503695, -3.5313821048780656 58.70670457676296))"
84195d3ffffffff,13969.0,"POLYGON ((-0.6692917033310195 51.64527714524333, -0.9998465593344867 51.58483083706424, -1.0567757864610072 51.36422214981745, -0.7850760944822384 51.20468949014294, -0.457066500598724 51.26521391401484, -0.3982242646620345 51.485190990482394, -0.6692917033310195 51.64527714524333))"
841973dffffffff,2758.0,"POLYGON ((-2.1513127410526924 55.92296646059581, -2.5116546491596647 55.86626492386992, -2.567674436211736 55.65437091823219, -2.2657229572807887 55.49972184526161, -1.908326825605091 55.55638823241807, -1.8499522355048905 55.767736175332075, -2.1513127410526924 55.92296646059581))"
8419427ffffffff,6575.5,"POLYGON ((-1.7802245780346777 53.529478656216995, -2.123965868733989 53.469240038353114, -2.1788859209290266 53.25155105071479, -1.8922035727902615 53.09468342978071, -1.5511617890707445 53.15493806844753, -1.4941168030204148 53.37204199185134, -1.7802245780346777 53.529478656216995))"
8419545ffffffff,7287.0,"POLYGON ((-4.314554862764006 55.5640633418814, -4.675173205776979 55.499857403071076, -4.722628638574616 55.28445728591925, -4.411953650823026 55.13376622442356, -4.054167119908404 55.19786835787426, -4.00423823489189 55.412762316631195, -4.314554862764006 55.5640633418814))"
8419095ffffffff,1842.5,"POLYGON ((-5.535676773407251 56.37538818657389, -5.903325128390768 56.308915790636014, -5.946721115139092 56.09451775059291, -5.6251180314058296 55.94705753620121, -5.26033926916365 56.01336969637799, -5.214308427716972 56.22729893483594, -5.535676773407251 56.37538818657389))"
841954bffffffff,3861.0,"POLYGON ((-2.980891398777133 55.382697006412634, -3.3386080966029845 55.32233018567499, -3.3909566243166416 55.107957908433676, -3.0879683939589393 54.95448634950422, -2.7331111199996663 55.014798631472935, -2.678397638085586 55.228634246727154, -2.980891398777133 55.382697006412634))"
84195ddffffffff,10255.0,"POLYGON ((-1.103494346730036 52.40231696237898, -1.439230951937114 52.3419913272584, -1.495417507223357 52.12250064517041, -1.21787542551618 51.96394676922824, -0.884744991414505 52.02432670117968, -0.8265638049775317 52.24320415411095, -1.103494346730036 52.40231696237898))"
841874bffffffff,7620.0,"POLYGON ((-4.027370979875902 50.76372049726491, -4.357718726381222 50.69126556708913, -4.402362230572684 50.464322481332495, -4.118733612293951 50.310404730434605, -3.7907775932664753 50.38282944370796, -3.744069751084974 50.60919970373352, -4.027370979875902 50.76372049726491))"
84190c9ffffffff,673.5,"POLYGON ((-5.114401541045735 58.269714453032805, -5.496168585123469 58.20833907562218, -5.54293856837508 58.000007926343436, -5.210774689530541 57.85350415738145, -4.832128370609764 57.9146947479545, -4.782541705942945 58.12257035157693, -5.114401541045735 58.269714453032805))"
84195b7ffffffff,9491.0,"POLYGON ((-3.414937482585768 50.67991676539649, -3.744069751084974 50.60919970373352, -3.7907775932664753 50.38282944370796, -3.5103870838845452 50.227761763402306, -3.183657452626588 50.29847068583028, -3.1349271650384956 50.52425312824379, -3.414937482585768 50.67991676539649))"
84195c5ffffffff,8127.0,"POLYGON ((-2.574710409127166 52.97064882258873, -2.9161271801966984 52.906861390067036, -2.9676908364812125 52.68678789603714, -2.679986373412196 52.53107596751697, -2.3411951190078764 52.594859217486814, -2.287496068364392 52.81435617554106, -2.574710409127166 52.97064882258873))"
8419533ffffffff,2084.5,"POLYGON ((-4.486351582961866 53.23533870111701, -4.831798394895878 53.16608966011584, -4.876668257807357 52.94437543528533, -4.578382413982972 52.79243904276302, -4.23552616399571 52.861614092847155, -4.188377820213872 53.08279673559096, -4.486351582961866 53.23533870111701))"
8419435ffffffff,14818.0,"POLYGON ((-0.9287402393301954 53.05543653710927, -1.2681654753927085 52.99691378235404, -1.3256094626704524 52.77920249606426, -1.0456718790577637 52.6206195165182, -0.7089180511097389 52.67919444525404, -0.6494442641172558 52.896298081905755, -0.9287402393301954 53.05543653710927))"
8419599ffffffff,5640.0,"POLYGON ((-1.0567757864610072 51.36422214981745, -1.3863540691142426 51.30205040126001, -1.441706176742335 51.08028037353338, -1.169412791364052 50.921308228531196, -0.8423483509129407 50.983547530682785, -0.7850760944822384 51.20468949014294, -1.0567757864610072 51.36422214981745))"
84195cbffffffff,13864.0,"POLYGON ((-1.3256094626704524 52.77920249606426, -1.6639830990893418 52.71891873856535, -1.719768577693418 52.50001226681744, -1.439230951937114 52.3419913272584, -1.103494346730036 52.40231696237898, -1.0456718790577637 52.6206195165182, -1.3256094626704524 52.77920249606426))"
84195e1ffffffff,2653.0,"POLYGON ((-3.5991663870192054 52.77572902805712, -3.940740314589315 52.708377782132416, -3.988466202581432 52.48657155678575, -3.696817322674666 52.33267125401867, -3.3578211702985428 52.39998516616108, -3.307908835590353 52.62123414198425, -3.5991663870192054 52.77572902805712))"
8419557ffffffff,5219.0,"POLYGON ((-2.894717926649783 54.36946680868478, -3.2454801786992586 54.30738762809664, -3.2971752224350066 54.09042805857204, -3.0003920198989227 53.93609666179085, -2.652383998519509 53.99814072462999, -2.5984191322663994 54.21454867493818, -2.894717926649783 54.36946680868478))"
84194e7ffffffff,15086.0,"POLYGON ((0.3209572175984165 51.81987874103719, -0.0088681486694039 51.762796838769574, -0.0692940978798749 51.543996089430806, 0.198235424470603 51.38292248124412, 0.52548548567213 51.4401151112708, 0.5877680563112744 51.6582689001643, 0.3209572175984165 51.81987874103719))"
841943bffffffff,4155.0,"POLYGON ((0.2998889605792325 52.84805632123376, -0.0361147185732641 52.79290831054853, -0.0975673632187002 52.576424923539044, 0.1750419713268154 52.41572004060963, 0.5083742960131257 52.470965769122905, 0.5717546204319861 52.68681682516413, 0.2998889605792325 52.84805632123376))"
8419721ffffffff,5750.0,"POLYGON ((-3.070547149389502 56.38444188408021, -3.4354977398916904 56.325769922042774, -3.4885106650556708 56.114069933078895, -3.1790549911884862 55.96156092895616, -2.817075105893367 56.02015723892314, -2.761596038021763 56.2313353016333, -3.070547149389502 56.38444188408021))"
841943dffffffff,7991.5,"POLYGON ((-0.5291713353834577 53.32869998456034, -0.8696217347000935 53.271942064365945, -0.9287402393301954 53.05543653710927, -0.6494442641172558 52.896298081905755, -0.3116993939681175 52.95311847358758, -0.2505591566288708 53.16901279799396, -0.5291713353834577 53.32869998456034))"
8419727ffffffff,12146.0,"POLYGON ((-3.4885106650556708 56.114069933078895, -3.8520437538091574 56.05354833901545, -3.9031812914854775 55.8406058064649, -3.5932707721232413 55.688698728169676, -3.232662173506672 55.74913520825947, -3.1790549911884862 55.96156092895616, -3.4885106650556708 56.114069933078895))"
84194e1ffffffff,7580.0,"POLYGON ((0.7136747369671699 52.09284753169542, 0.382980340751182 52.037492126629566, 0.3209572175984165 51.81987874103719, 0.5877680563112744 51.6582689001643, 0.9158575576213399 51.71374559754104, 0.9797275709118567 51.93070916744754, 0.7136747369671699 52.09284753169542))"
8419551ffffffff,2772.0,"POLYGON ((-2.4892362620813047 54.64548365273509, -2.8412664523552937 54.585211124020965, -2.894717926649783 54.36946680868478, -2.5984191322663994 54.21454867493818, -2.24918384448471 54.27479589990647, -2.1934670251225694 54.48998398073054, -2.4892362620813047 54.64548365273509))"
84190d9ffffffff,3147.0,"POLYGON ((-3.8563066413718285 57.46786317012882, -4.230375121572935 57.40886755282852, -4.281427926516645 57.19942426181257, -3.961063857813644 57.04946555598064, -3.5900690647841698 57.10833683707346, -3.536381138969177 57.317287967143464, -3.8563066413718285 57.46786317012882))"
84195e7ffffffff,3188.0,"POLYGON ((-3.988466202581432 52.48657155678575, -4.328757570532218 52.41745697108976, -4.374848504674366 52.1944919553097, -4.082848689452333 52.04119118138093, -3.7450965221206105 52.110258505649284, -3.696817322674666 52.33267125401867, -3.988466202581432 52.48657155678575))"
841953bffffffff,7131.5,"POLYGON ((-4.092995734488092 53.52334721871609, -4.439805871970244 53.45588097938851, -4.486351582961866 53.23533870111701, -4.188377820213872 53.08279673559096, -3.8441992428094536 53.15019864830769, -3.7953758791620262 53.37020410063899, -4.092995734488092 53.52334721871609))"
84195cdffffffff,11037.0,"POLYGON ((-2.1788859209290266 53.25155105071479, -2.5214774417487247 53.18953552286989, -2.574710409127166 52.97064882258873, -2.287496068364392 52.81435617554106, -1.9475671459692359 52.87637761485581, -1.8922035727902615 53.09468342978071, -2.1788859209290266 53.25155105071479))"
8419433ffffffff,7758.0,"POLYGON ((-0.0975673632187002 52.576424923539044, -0.432639780981291 52.51952948273036, -0.492449420292738 52.30184375904422, -0.2191374344592494 52.1416808182628, 0.1132952652774396 52.1986635433904, 0.1750419713268154 52.41572004060963, -0.0975673632187002 52.576424923539044))"
84195c3ffffffff,11412.0,"POLYGON ((-1.719768577693418 52.50001226681744, -2.0570650886113504 52.43797191215002, -2.111208324596382 52.21788122281217, -1.8301115887419024 52.06042870859474, -1.495417507223357 52.12250064517041, -1.439230951937114 52.3419913272584, -1.719768577693418 52.50001226681744))"
8419519ffffffff,10240.5,"POLYGON ((-2.652383998519509 53.99814072462999, -3.0003920198989227 53.93609666179085, -3.052623843076306 53.71847894046447, -2.7590839129137006 53.56346419535518, -2.4137994168752215 53.62548715235881, -2.359345317825497 53.84254342327844, -2.652383998519509 53.99814072462999))"
84195b5ffffffff,3321.5,"POLYGON ((-3.649627885402723 51.06029064574157, -3.9811872278487312 50.98955367382511, -4.027370979875902 50.76372049726491, -3.744069751084974 50.60919970373352, -3.414937482585768 50.67991676539649, -3.366690974848194 50.90517214542122, -3.649627885402723 51.06029064574157))"
8419425ffffffff,11617.5,"POLYGON ((-2.0128729306382325 53.90277945716153, -2.359345317825497 53.84254342327844, -2.4137994168752215 53.62548715235881, -2.123965868733989 53.469240038353114, -1.7802245780346777 53.529478656216995, -1.7235999025298434 53.74595940098855, -2.0128729306382325 53.90277945716153))"
